Date,Open,High,Low,Close,Volume
2020-01-01 19:00:00,130.28,131.15,130.28,130.59,5.75597655
2020-01-02 19:00:00,130.5,130.5,126.69,127.24,311.57704113
2020-01-03 19:00:00,126.38,134.4,126.38,133.86,138.71528783
2020-01-04 19:00:00,134.12,135.24,132.95,134.5,44.50658291
2020-01-05 19:00:00,136.16,137.91,116.77,135.24,404.83771074
2020-01-06 19:00:00,135.02,144.39,135.02,144.39,401.71016842
2020-01-07 19:00:00,144.86,144.87,139.17,143.39,418.76485744
2020-01-08 19:00:00,144.33,147.0,135.01,135.02,186.10670571
2020-01-09 19:00:00,141.42,141.42,136.1,137.52,63.13832739
2020-01-10 19:00:00,138.04,144.58,135.57,143.84,150.15715902
2020-01-11 19:00:00,144.41,146.74,142.42,143.01,49.7168133
2020-01-12 19:00:00,142.29,145.67,142.29,144.63,57.89505613
2020-01-13 19:00:00,146.21,146.21,141.94,141.94,56.16731417
2020-01-14 19:00:00,144.54,169.19,135.0,166.22,369.0592913
2020-01-15 19:00:00,164.0,171.5,161.11,165.41,236.15831582
2020-01-16 19:00:00,164.79,164.79,155.65,164.35,85.5934374
2020-01-17 19:00:00,162.86,174.02,162.86,171.57,167.47847979
2020-01-18 19:00:00,170.79,179.62,145.09,175.61,419.48570448
2020-01-19 19:00:00,173.97,177.39,163.11,167.11,156.23558315
2020-01-20 19:00:00,165.12,169.03,163.02,167.32,166.00868859
2020-01-21 19:00:00,167.0,169.73,165.06,169.73,141.81194552
2020-01-22 19:00:00,168.82,171.25,164.62,167.95,55.589749489999996
2020-01-23 19:00:00,167.92,167.92,159.71,162.68,265.00720624
2020-01-24 19:00:00,160.73,163.79,155.71,163.79,100.13071537
2020-01-25 19:00:00,159.61,162.0,158.49,162.0,22.149924679999998
2020-01-26 19:00:00,160.53,167.69,160.52,167.6,334.59220367
2020-01-27 19:00:00,169.2,171.88,167.02,171.33,24.70318965
2020-01-28 19:00:00,173.5,176.0,169.32,176.0,295.19876429
2020-01-29 19:00:00,176.7,180.99,175.0,175.0,330.99786684000003
2020-01-30 19:00:00,173.46,184.8,171.2,184.38,154.68952646
2020-01-31 19:00:00,185.04,187.06,175.51,180.0,367.97958165
2020-02-01 19:00:00,182.51,183.94,181.14,183.1,53.60566255
2020-02-02 19:00:00,181.72,192.61,180.01,188.89,164.04170909
2020-02-03 19:00:00,188.16,193.98,185.04,188.99,289.64719827
2020-02-04 19:00:00,190.94,190.94,185.01,188.43,99.31930458
2020-02-05 19:00:00,189.45,204.8,189.45,204.18,257.64536362
2020-02-06 19:00:00,203.7,216.51,202.09,213.4,357.78064328
2020-02-07 19:00:00,215.9,225.0,215.52,223.51,490.20173287
2020-02-08 19:00:00,223.57,228.87,195.11,224.33,419.39130449
2020-02-09 19:00:00,223.91,229.21,220.16,226.59,438.56184482
2020-02-10 19:00:00,229.0,229.0,216.61,224.58,293.34285745
2020-02-11 19:00:00,220.54,238.36,218.5,236.4,482.51605517
2020-02-12 19:00:00,240.31,276.57,240.31,265.97,644.9233929
2020-02-13 19:00:00,265.79,276.71,237.45,267.89,800.25649405
2020-02-14 19:00:00,268.13,286.29,261.55,286.29,570.30285559
2020-02-15 19:00:00,287.93,288.0,252.55,263.77,1068.71954508
2020-02-16 19:00:00,264.95,272.81,237.45,259.42,642.13059024
2020-02-17 19:00:00,259.42,267.79,243.35,267.55,414.46760676
2020-02-18 19:00:00,266.68,286.32,260.0,281.57,790.04303889
2020-02-19 19:00:00,281.47,286.05,252.75,259.19,749.02004389
2020-02-20 19:00:00,257.34,263.25,246.4,258.34,508.01105055
2020-02-21 19:00:00,255.74,270.45,254.64,262.95,391.97913881
2020-02-22 19:00:00,265.63,265.64,256.85,263.36,419.10473181
2020-02-23 19:00:00,262.51,275.68,261.74,275.68,149.0697582
2020-02-24 19:00:00,275.38,275.38,257.44,265.84,562.66340024
2020-02-25 19:00:00,264.57,311.43,245.0,247.1,761.9262399
2020-02-26 19:00:00,246.02,286.57,209.4,224.43,3084.47641291
2020-02-27 19:00:00,223.64,238.3,210.09,224.81,1051.78577375
2020-02-28 19:00:00,227.81,233.17,214.73,227.0,501.43242224
2020-02-29 19:00:00,227.5,232.63,217.51,217.51,731.8377214
